0,10
0,20
0,30
0,40
0,50
0,60
0,70
0,80
0,90
0,100
0,110
0,120
0,130
0,140
0,150
0,160
0,170
0,180
0,190
1,200
0,210
0,220
0,230
0,240
0,250
0,260
0,270
0,280
0,290
0,300
0,310
0,320
0,330
0,340
0,350
1,360
0,370
2,380
2,390
1,400
0,410
4,420
1,430
1,440
2,450
1,460
1,470
1,480
1,490
2,500
1,510
2,520
2,530
0,540
2,550
2,560
2,570
3,580
3,590
3,600
2,610
2,620
3,630
3,640
2,650
1,660
2,670
2,680
4,690
2,700
4,710
4,720
3,730
5,740
5,750
5,760
4,770
3,780
2,790
2,800
6,810
3,820
3,830
3,840
3,850
3,860
3,870
3,880
3,890
3,900
3,910
4,920
3,930
3,940
3,950
6,960
3,970
4,980
4,990
4,1000
4,1010
4,1020
5,1030
5,1040
4,1050
5,1060
4,1070
5,1080
4,1090
5,1100
6,1110
5,1120
5,1130
5,1140
6,1150
6,1160
5,1170
6,1180
7,1190
8,1200
6,1210
6,1220
7,1230
6,1240
7,1250
7,1260
7,1270
8,1280
7,1290
7,1300
8,1310
8,1320
7,1330
8,1340
8,1350
9,1360
9,1370
8,1380
8,1390
8,1400
8,1410
9,1420
9,1430
9,1440
11,1450
8,1460
11,1470
9,1480
11,1490
