0,10
0,20
0,30
0,40
0,50
0,60
0,70
0,80
0,90
0,100
0,110
0,120
0,130
29,140
0,150
0,160
0,170
1,180
0,190
0,200
0,210
0,220
0,230
0,240
1,250
0,260
0,270
0,280
0,290
0,300
1,310
3,320
1,330
0,340
0,350
1,360
0,370
1,380
0,390
1,400
1,410
0,420
3,430
1,440
2,450
1,460
1,470
1,480
2,490
1,500
2,510
2,520
2,530
4,540
1,550
1,560
1,570
2,580
2,590
2,600
2,610
3,620
1,630
1,640
4,650
2,660
1,670
1,680
2,690
3,700
2,710
3,720
2,730
2,740
3,750
2,760
2,770
2,780
3,790
3,800
3,810
3,820
3,830
4,840
3,850
3,860
4,870
3,880
4,890
3,900
4,910
4,920
3,930
4,940
4,950
3,960
6,970
4,980
10,990
5,1000
7,1010
5,1020
8,1030
6,1040
5,1050
8,1060
5,1070
9,1080
6,1090
7,1100
5,1110
6,1120
5,1130
7,1140
6,1150
7,1160
6,1170
6,1180
7,1190
6,1200
7,1210
6,1220
7,1230
6,1240
8,1250
8,1260
23,1270
10,1280
11,1290
14,1300
11,1310
10,1320
8,1330
10,1340
7,1350
9,1360
9,1370
8,1380
9,1390
8,1400
9,1410
10,1420
9,1430
13,1440
12,1450
12,1460
12,1470
11,1480
11,1490
